Event,Description,Date,Link,Source,Week Number
Trivia Night at Rose City Book Pub,7:30PM - 9:30PM,07/12/2023,https://www.rosecitybookpub.com/events-1/2023/7/12/trivia-night,Rose City Book Pub,28
Michael Finkel at Powell’s City of Books,7pm,07/12/2023,https://www.powells.com/book/the-art-thief-9780525657323/1-3,Powells,28
Gail Tsukiyama in Conversation With Whitney Otto at Powell’s Books at Cedar Hills Crossing,7pm,07/12/2023,https://www.powells.com/book/the-brightest-star-9780063213753/2-2,Powells,28
Patrick deWitt at Powell’s City of Books,7pm,07/13/2023,https://www.powells.com/book/the-librarianist-9780063085121/1-1,Powells,28
Brandon Hoàng in Conversation With Margot Wood at Powell’s Books at Cedar Hills Crossing,7pm,07/13/2023,https://www.powells.com/book/gloria-buenrostro-is-not-my-girlfriend-9780374388577/2-2,Powells,28
1+1 at Mother Foucault's Bookshop,7:00PM - 9:00PM,07/14/2023,https://www.motherfoucaultsbookshop.com/calendar-list/11-1,Mother Foucault's Bookshop,28
Erotica Open Mic at Rose City Book Pub,9:00PM - 11:00PM,07/14/2023,https://www.rosecitybookpub.com/events-1/2023/7/14/erotica-open-mic,Rose City Book Pub,28
Board Game Night hosted by RCSNP at Rose City Book Pub,6:30PM - 10:00PM,07/15/2023,https://www.rosecitybookpub.com/events-1/2023/7/15/board-game-night-hosted-by-rcsnp,Rose City Book Pub,28
Kids’ Storytime at Powell’s City of Books,10:30am,07/15/2023,https://www.powells.com/book/armadillo-antics-9781612545479,Powells,28
David Neiwert in Conversation With Leah Sottile at Powell’s City of Books,7pm,07/17/2023,https://www.powells.com/book/the-age-of-insurrection-9781685890360/1-1,Powells,29
The Visual Essay: Experiments in Form at Literary Arts (tuition required) (virtual),5:00pm - 7:00pm,07/18/2023,https://literary-arts.org/event/the-visual-essay-experiments-in-form/,Literary Arts,29
Reading: Waka T. Brown: The Very Unfortunate Wish of Melony Yoshimura at Annie Bloom's Books,7:00pm - 8:00pm,07/18/2023,https://www.annieblooms.com/event/reading-waka-t-brown-very-unfortunate-wish-melony-yoshimura,Annie Bloom's Books,29
M.E. O'Brien at Mother Foucault's Bookshop,7:00PM - 8:00PM,07/18/2023,https://www.motherfoucaultsbookshop.com/calendar-list/family-abolition-capitalism-and-the-communizing-of-care-by-me-obrien,Mother Foucault's Bookshop,29
House Band: Left on Tenth at Rose City Book Pub,7:00PM - 9:00PM,07/18/2023,https://www.rosecitybookpub.com/events-1/2023/7/18/house-band-left-on-tenth,Rose City Book Pub,29
Jacob Mikanowski at Powell’s City of Books,7pm,07/18/2023,https://www.powells.com/book/goodbye-eastern-europe-9781524748500/1-1,Powells,29
Jillian Lauren in Conversation With Rene Denfeld at Powell’s Books at Cedar Hills Crossing,7pm,07/18/2023,https://www.powells.com/book/behold-the-monster-9781728267753/2-1,Powells,29
"Creative Clarity, Focus and Momentum at Literary Arts (tuition required)",5:30pm - 7:30pm,07/19/2023,https://literary-arts.org/event/creative-clarity-focus-and-momentum/,Literary Arts,29
Ana Anu at Mother Foucault's Bookshop,7:00PM - 9:00PM,07/19/2023,https://www.motherfoucaultsbookshop.com/calendar-list/ana-anu,Mother Foucault's Bookshop,29
Trivia Night at Rose City Book Pub,7:30PM - 9:30PM,07/19/2023,https://www.rosecitybookpub.com/events-1/2023/7/19/trivia-night,Rose City Book Pub,29
M. E. O'Brien in Conversation With Che Gossett & Madeline Lane-McKinley at Powell’s City of Books,7pm,07/19/2023,https://www.powells.com/book/family-abolition-9780745343822/1-1,Powells,29
Silvia Moreno-Garcia in Conversation With Michelle Ruiz Keil at Powell’s Books at Cedar Hills Crossing,7pm,07/19/2023,https://www.powells.com/book/silver-nitrate-9780593355367/2-3,Powells,29
Slamlandia at Literary Arts,7:00pm - 9:00pm,07/20/2023,https://literary-arts.org/event/slamlandia-2/2023-07-20/,Literary Arts,29
Reading: Adrienne Tooley: The Third Daughter at Annie Bloom's Books,7:00pm - 8:00pm,07/20/2023,https://www.annieblooms.com/event/reading-adrienne-tooley-third-daughter,Annie Bloom's Books,29
Rachel Harris at Powell’s City of Books,7pm,07/20/2023,https://www.powells.com/book/swimming-in-the-sacred-9781608687305/1-1,Powells,29
Lisa Belkin in Conversation With Nicholas D. Kristof at Powell’s Books at Cedar Hills Crossing,7pm,07/20/2023,https://www.powells.com/book/genealogy-of-a-murder-four-generations-three-families-one-fateful-night-9780393285253/2-1,Powells,29
Dreamscapes of Body and Lineage: A Generative Workshop at Literary Arts (tuition required),10:00am - 1:30pm,07/22/2023,https://literary-arts.org/event/dreamscapes-of-body-and-lineage-a-generative-workshop/,Literary Arts,29
Kids’ Storytime at Powell’s City of Books,10:30am,07/22/2023,https://www.powells.com/book/we-move-together-9781849354042,Powells,29
Community Art Day at Rose City Book Pub,2:00PM - 6:00PM,07/23/2023,https://www.rosecitybookpub.com/events-1/2023/7/23/community-art-day,Rose City Book Pub,29
Annelyse Gelman & Stephanie Adams-Santos at Powell’s City of Books,2pm,07/23/2023,https://www.powells.com/book/vexations-9780226826110/1-1,Powells,29
Reading: Brittney Corrigan: Solastalgia at Annie Bloom's Books,7:00pm - 8:00pm,07/24/2023,https://www.annieblooms.com/event/reading-brittney-corrigan-solastalgia,Annie Bloom's Books,30
Thom Hartmann at Powell’s City of Books,7pm,07/24/2023,https://www.powells.com/book/the-hidden-history-of-american-democracy-9781523004386/1-1,Powells,30
Writing Workshop: Drink and Write Tuesdays at Rose City Book Pub,6:00PM - 8:00PM,07/25/2023,https://www.rosecitybookpub.com/events-1/2023/7/25/writing-workshop-drink-and-write-tuesdays,Rose City Book Pub,30
Bluegrass: Tuesdays with Monroe at Rose City Book Pub,7:00PM - 9:00PM,07/25/2023,https://www.rosecitybookpub.com/events-1/2023/7/25/bluegrass-tuesdays-with-monroe,Rose City Book Pub,30
Alex Pappademas & Joan LeMay in Conversation With Matt Fraction at Powell’s City of Books,7pm,07/25/2023,https://www.powells.com/book/quantum-criminals-9781477324998/1-1,Powells,30
Chuck Tingle at Powell’s Books at Cedar Hills Crossing,7pm,07/25/2023,https://www.powells.com/book/camp-damascus-9781250874627/2-2,Powells,30
Experiments in Creativity at Literary Arts (tuition required) (virtual),5:00pm - 7:00pm,07/26/2023,https://literary-arts.org/event/experiments-in-creativity/,Literary Arts,30
Trivia Night at Rose City Book Pub,7:30PM - 9:30PM,07/26/2023,https://www.rosecitybookpub.com/events-1/2023/7/26/trivia-night,Rose City Book Pub,30
Danielle Centoni & Kerry Newberry at Powell’s City of Books,7pm,07/26/2023,https://www.powells.com/book/oregon-wine-food-9781773271941/1-1,Powells,30
Poetry Reading: Jaspal Kaur Singh and Gwendolyn Morgan at Annie Bloom's Books,7:00pm - 8:00pm,07/27/2023,https://www.annieblooms.com/event/poetry-reading-jaspal-kaur-singh-and-gwendolyn-morgan,Annie Bloom's Books,30
